,Rate
2260,6.3
3084,7.5
2112,5.3
900,6.5
1446,6.3
1911,6.6
3542,No Rate
2697,7.6
4825,5.9
3662,8.1
741,7.1
2293,7.6
2452,7.6
3802,6.5
3921,6.2
5044,7.3
1206,5.5
509,8.3
3716,4.6
5121,6.4
4739,7.3
1764,6.1
5593,7.4
1549,4.5
3029,6.4
4653,7.6
2202,5.8
2566,5.8
5682,5.0
2044,6.6
767,7.6
6032,5.7
3774,4.8
3699,8.1
1508,7.4
3134,7.5
3761,No Rate
6005,6.5
421,8.3
123,5.8
5129,6.6
3933,8.0
3292,7.3
819,9.3
1403,9.0
1382,6.0
2148,7.3
5194,6.8
1575,7.6
1638,8.3
1795,7.5
3331,7.2
5939,No Rate
5495,4.8
399,6.0
3151,6.4
2310,7.4
882,7.5
3565,8.2
6142,5.6
1179,8.2
1352,7.2
4101,7.6
5617,7.1
2130,5.8
982,8.0
456,5.2
1486,6.3
1079,6.3
1950,5.7
5710,No Rate
689,6.4
4874,7.0
2429,7.2
641,8.4
2392,2.8
2825,8.3
1953,8.4
3538,6.1
5101,7.0
3058,6.9
4121,8.0
4620,5.6
2710,No Rate
1083,8.2
4575,6.0
5881,7.0
4486,8.2
1884,6.4
4640,7.1
389,5.3
2494,5.4
1851,7.8
3036,2.7
4216,6.7
3603,7.3
845,6.4
542,8.0
3724,5.7
91,7.8
3679,4.6
5806,8.3
3871,6.1
4112,7.6
1979,6.6
3244,7.5
5275,7.2
3150,7.2
5047,6.9
5767,8.1
5452,7.1
2964,8.5
3463,5.5
2529,5.2
4228,7.4
1676,7.5
1048,7.7
2949,6.1
1960,6.1
2530,7.6
4537,7.8
6156,8.1
5993,7.1
237,7.6
4269,6.4
4655,6.4
1133,6.7
2880,6.0
1805,6.0
5107,7.3
163,8.5
6139,7.7
5871,No Rate
5812,6.6
5851,7.4
4628,6.5
4450,5.8
265,8.6
3839,5.5
2001,No Rate
1811,6.9
3277,4.4
5709,6.7
2978,8.2
4383,6.2
2906,7.2
4414,6.2
5660,7.3
1428,8.4
398,6.7
4149,5.0
5155,6.4
947,8.1
3078,5.8
3919,7.3
3138,7.3
5506,8.3
5072,5.9
5736,7.6
5298,4.9
3229,7.3
1826,7.3
1452,7.6
593,7.4
2725,5.8
41,7.6
560,3.2
5444,7.7
5019,6.6
489,5.2
243,8.2
3172,5.6
1339,5.3
4678,7.8
4262,6.8
4010,5.1
405,8.3
1442,5.3
261,8.6
4776,7.1
3537,7.0
5928,6.7
1689,6.4
3478,7.3
1725,5.1
1203,7.6
834,4.1
1866,7.7
2496,7.8
3016,7.0
5833,7.2
2010,7.4
4866,6.4
340,7.4
4292,6.8
1601,7.3
2796,7.5
4993,5.7
5795,4.9
480,8.7
3875,7.3
3725,6.0
6118,6.6
2785,4.6
1523,6.8
3621,7.3
4594,8.1
5478,6.1
5723,4.8
1766,No Rate
4037,7.5
6061,6.6
4999,7.2
5774,7.9
363,7.1
6111,5.6
5554,8.1
4919,4.1
5702,6.2
2562,6.9
5354,6.7
5661,6.9
3083,7.8
5687,7.8
2102,6.1
632,7.7
2493,6.5
2665,7.1
4462,7.3
4528,5.6
4371,6.4
2334,7.6
4727,7.9
3619,4.8
3883,2.3
4174,8.3
1494,7.5
2401,6.6
3874,6.4
1232,6.1
2661,7.3
2817,6.9
5640,7.2
4899,6.9
4595,5.5
3061,6.2
5274,6.8
6112,5.5
1735,6.4
2823,6.3
4219,4.2
2475,7.5
2564,7.2
5199,5.0
4770,6.7
707,8.6
3046,6.9
5265,No Rate
4708,5.7
72,7.4
5777,5.7
1190,7.8
2601,5.5
1125,7.6
1241,5.0
5531,3.3
5093,6.6
3351,5.6
4008,7.3
1577,8.1
3906,8.8
3729,6.2
1343,7.4
6161,6.8
440,4.3
1100,6.4
2637,7.3
4339,6.8
649,7.7
1546,6.5
4689,7.8
4707,6.4
2852,6.2
3503,7.1
4436,8.0
630,8.1
1249,7.8
5218,6.2
482,8.5
1584,5.5
1462,7.7
3040,8.9
5992,6.1
3273,7.1
3683,8.3
4145,6.4
4338,6.9
3225,6.6
1072,6.7
2631,6.7
1660,7.9
2425,7.6
5204,7.1
3097,4.4
3976,6.9
5525,6.6
5862,7.8
5508,5.5
4890,7.8
1408,5.7
1845,6.6
1798,5.2
3957,7.3
1475,5.9
35,6.5
444,No Rate
2359,5.8
3654,7.7
3179,5.3
1286,8.0
4764,6.2
3416,7.6
2137,4.7
2636,7.0
4016,7.2
5966,6.3
1681,5.7
6171,7.8
1692,6.5
6095,8.4
4915,7.4
3635,7.4
372,7.4
4738,7.6
140,7.4
5754,5.6
5614,No Rate
714,8.7
3188,5.8
5449,6.8
4309,5.3
406,8.1
20,7.7
1004,8.2
2411,4.7
2545,6.6
2390,4.4
4959,8.0
42,5.3
2830,5.5
3371,No Rate
3022,6.3
3364,6.1
11,7.9
1177,8.4
1947,6.7
2501,6.5
2863,6.8
3865,7.3
1026,6.7
3848,8.2
2989,6.0
961,7.9
2889,7.5
3015,7.4
3338,6.9
4352,5.2
735,7.9
1440,No Rate
2875,8.2
3986,5.4
916,5.1
5151,7.0
4089,6.5
5704,5.6
5168,6.9
2772,No Rate
1624,6.6
5362,3.3
821,8.6
1367,7.2
3712,4.7
5549,6.3
850,7.0
1000,7.8
4586,7.6
4114,7.1
1637,6.5
1667,6.5
3173,7.2
4693,6.5
1347,6.4
4817,6.2
3230,7.8
4331,6.0
4740,5.2
3232,No Rate
5048,7.7
703,7.2
4920,5.5
3291,4.8
3673,8.4
2408,8.2
1327,5.3
5750,7.2
5060,6.0
5158,7.3
986,6.2
5602,5.7
5306,8.4
5113,7.3
4049,5.0
3485,7.5
2474,7.4
3873,5.3
1198,7.8
4181,8.1
1518,7.3
1799,7.0
1014,8.6
128,8.3
1364,7.1
4745,4.9
891,7.5
2793,6.4
5183,4.3
5882,5.1
5291,7.2
3249,6.5
1208,7.5
3868,4.7
5543,8.1
4065,6.2
5899,7.8
1239,6.0
2289,6.5
2740,6.3
275,7.2
1035,7.6
1229,6.8
1008,8.1
3828,7.5
2532,7.2
4293,6.2
1058,7.9
4609,5.8
281,6.1
1043,7.8
1316,8.1
968,7.8
2381,7.8
4990,8.0
1939,7.5
4424,7.0
1274,7.4
619,7.0
4478,7.5
1742,7.7
1390,6.1
5025,7.3
1579,6.5
1655,8.0
3568,7.7
2352,4.7
2212,8.0
6141,6.8
3178,7.2
3192,7.2
1307,6.6
575,4.9
2360,6.2
1280,7.4
5021,7.8
5110,7.2
1993,7.9
2639,6.9
269,4.9
629,7.4
5903,6.6
3081,6.9
3466,8.1
5386,7.5
4023,6.0
2046,5.7
4356,8.3
4845,7.1
2113,7.5
27,8.1
2040,7.7
3928,8.0
5582,6.2
3216,7.2
3814,8.8
129,8.4
4574,No Rate
6065,7.4
13,9.2
5292,7.3
1525,7.1
2365,6.3
3052,7.5
4005,6.4
2340,7.1
374,6.6
5962,8.0
5302,7.4
939,7.3
5912,6.6
2147,6.2
3591,5.3
5605,8.4
6174,8.3
3623,7.0
529,8.0
3714,8.5
1269,6.6
4281,5.6
1394,5.7
4009,6.5
4390,3.2
1797,7.9
2979,7.8
1441,8.2
4614,7.7
6021,6.9
3811,7.3
1273,7.5
1712,7.3
955,7.4
4602,6.1
4934,7.1
5457,8.5
403,No Rate
2071,6.1
5868,6.4
1977,8.2
158,7.8
3888,7.3
902,5.3
352,8.4
4130,7.3
754,8.2
2971,7.9
6148,5.6
2920,6.0
311,6.4
661,8.1
1989,7.2
3665,6.0
306,9.1
2335,6.5
2356,8.3
3702,7.1
3804,6.6
1927,6.3
3427,5.2
749,5.7
3638,7.3
4487,1.9
1266,8.2
4901,5.8
5455,6.4
3595,7.0
2134,6.9
4109,7.0
514,7.1
5520,5.7
409,7.7
4603,7.9
6153,7.5
6108,No Rate
5346,5.5
207,7.6
458,7.0
2054,6.6
2430,5.0
250,7.2
5269,6.3
1107,8.5
5006,8.1
1713,6.8
3911,8.1
715,7.4
552,7.5
1439,6.4
2270,7.7
3144,6.6
5897,6.7
1925,6.5
634,7.4
316,6.1
5801,8.5
427,8.4
5285,5.6
105,8.4
3041,8.3
4238,8.5
2169,No Rate
1709,6.9
89,8.5
2241,6.4
3174,7.0
4606,5.1
1949,6.7
4044,6.8
2848,6.3
1,6.3
4337,7.7
935,7.7
5283,6.6
2720,6.4
591,7.4
5219,7.7
2936,7.3
2448,7.5
1576,7.8
5154,5.5
213,6.9
778,8.8
3496,6.8
4840,5.4
2043,7.7
5838,4.2
1567,6.6
165,8.6
3566,8.4
4724,5.9
5873,7.6
2013,5.7
273,5.1
3860,6.2
4167,5.8
4927,7.6
3788,6.6
394,8.2
583,7.3
6158,8.7
5983,No Rate
5907,5.8
520,7.9
1763,7.6
1875,7.8
3965,6.3
3344,7.0
2253,6.9
3224,4.9
526,6.4
2946,5.9
4473,6.2
3899,5.8
692,5.0
5839,7.8
4444,8.0
3633,4.5
1050,6.7
590,8.6
519,8.6
3380,6.3
3676,6.5
5086,No Rate
1607,6.1
3610,6.0
5894,4.0
1809,7.1
791,8.3
792,4.0
5076,5.4
1855,6.6
1980,8.3
3233,6.4
3598,7.9
933,7.2
3963,7.3
5735,5.8
4179,6.5
4026,7.6
4116,7.0
988,5.0
4760,No Rate
3453,6.3
5639,6.8
3778,7.0
5179,7.7
3093,6.6
3155,6.8
3201,5.1
5585,4.5
1098,7.2
5128,6.7
2844,6.7
886,8.5
6096,6.2
5206,7.5
515,8.0
5698,7.7
1453,6.3
3553,5.3
3609,8.6
2506,7.8
2994,7.4
3999,6.8
5853,5.1
906,7.2
28,8.4
2507,8.2
2428,5.2
762,8.0
3747,6.6
284,8.1
686,6.7
2353,6.6
4966,8.0
5953,7.1
21,7.7
2752,5.3
885,7.3
917,8.4
1040,7.7
1265,8.3
4579,6.3
5340,6.3
277,No Rate
2084,7.2
1245,8.7
2382,6.8
571,8.4
1435,8.0
3902,6.6
1247,6.2
3526,7.0
2514,5.1
1007,7.1
4543,6.3
5345,6.0
2064,7.1
4872,6.5
1690,7.2
5326,7.7
1985,6.5
294,7.4
1547,6.9
2012,7.1
588,7.9
3329,7.6
2403,7.3
2129,7.2
3998,7.4
5403,7.1
3741,7.3
3508,8.0
2719,6.5
4521,5.6
5623,6.2
5629,6.1
556,7.2
2469,7.3
3738,6.0
4286,7.8
5081,7.8
1716,5.3
2604,5.6
5700,8.6
1704,6.6
2139,8.7
3239,7.4
2383,7.2
4311,8.1
1285,7.1
5255,6.1
5516,2.7
3930,4.1
4668,5.5
1591,7.6
5470,4.8
2162,6.3
2396,7.2
317,8.5
5542,7.2
3111,7.4
4036,7.5
795,8.1
3020,5.9
1711,6.0
3387,6.8
36,8.7
4549,7.9
913,No Rate
3972,7.7
4133,6.6
974,7.2
983,5.6
5038,7.3
1418,5.6
1560,7.7
4135,5.6
4922,6.5
4265,7.5
1355,7.4
5856,6.2
987,5.3
2682,4.2
1640,No Rate
1290,8.1
3681,8.1
1380,8.5
1933,7.3
4675,6.2
5195,6.0
3160,7.0
2030,8.8
892,8.7
4069,7.7
4255,7.2
2,6.4
2109,7.7
849,7.3
2737,7.2
2466,6.6
1914,7.2
1596,6.2
1913,5.3
5817,5.8
2736,7.8
726,7.8
53,8.0
1796,6.4
3845,6.2
2553,6.4
2800,No Rate
936,8.4
5090,7.1
824,9.0
4321,6.1
3401,5.6
1389,No Rate
3564,6.4
884,8.1
1868,7.6
10,8.2
3415,6.8
1463,6.4
806,6.0
4850,5.6
4068,6.2
2108,7.6
5212,7.3
6124,No Rate
2234,6.4
963,8.2
4494,6.7
2632,5.9
704,No Rate
431,6.0
4388,6.0
145,6.4
2033,6.7
5180,6.4
1165,7.4
3500,6.2
2050,7.5
3760,5.9
2624,7.7
4484,7.9
4435,4.5
4917,4.7
4782,7.1
4361,6.8
2424,5.6
1262,6.6
1771,7.6
3511,7.4
271,7.0
244,7.2
6053,5.5
4572,5.7
2032,7.5
4876,5.7
813,4.8
3810,6.0
5012,8.1
1804,6.0
4346,7.0
2461,7.7
545,8.0
3241,6.1
738,7.5
310,3.9
3521,5.6
1131,7.6
6084,7.1
4111,6.3
2769,8.0
920,6.9
3587,6.3
3959,3.1
38,6.7
4459,6.9
4278,5.2
2983,2.8
6163,6.3
2667,7.3
3223,6.2
1182,4.8
614,5.7
6066,4.9
1466,7.9
4497,5.7
3042,7.3
934,8.3
2419,5.3
5572,8.2
5000,6.3
826,6.5
1521,7.9
2930,6.9
4232,7.3
628,5.5
4430,No Rate
3853,6.5
390,6.1
4345,4.8
6023,7.6
3990,7.2
400,6.2
4806,6.6
3359,8.2
46,7.2
5922,6.1
6087,7.3
3642,6.8
3726,8.2
5995,7.1
2421,7.9
1750,7.8
5969,6.7
5055,6.6
4062,7.3
338,7.9
215,8.5
3663,5.1
1341,7.7
5646,5.9
3894,7.3
3640,7.1
329,8.4
3004,7.3
5898,7.8
3115,No Rate
5972,6.4
2322,7.1
4197,6.4
3549,6.5
1458,6.9
171,6.5
4203,5.6
5170,7.2
3569,6.6
4226,7.1
5033,2.3
5085,7.6
938,8.3
60,8.9
1240,7.5
5159,6.5
2120,7.6
1524,7.4
153,No Rate
481,8.5
4460,5.3
3920,7.6
1762,5.4
750,7.0
1785,7.6
4501,7.6
4853,6.6
2711,7.1
4988,6.6
4193,6.4
1333,5.8
5493,6.6
2854,6.4
186,8.8
1136,6.2
2058,8.7
5958,7.1
148,3.3
4124,6.8
3363,7.2
4788,7.1
2866,6.7
3776,8.6
1386,7.4
5836,7.5
5108,8.0
3629,7.5
5556,7.2
4797,7.7
3028,7.7
2969,6.1
5360,5.9
1708,7.0
2953,6.1
454,7.0
609,7.3
4263,7.4
4826,5.6
5231,8.4
2074,5.6
4052,7.3
5017,5.6
1622,7.0
4683,7.2
5405,7.2
40,7.7
2089,7.6
3924,6.5
2175,6.8
74,8.4
4938,6.8
6094,6.9
2657,6.0
3180,7.0
2076,5.7
441,8.3
2051,8.0
2541,6.2
1301,7.2
3430,6.4
1304,7.9
236,7.7
5144,5.5
2599,6.0
4616,7.1
2573,No Rate
3280,8.0
3186,6.0
3953,6.2
2768,7.5
4831,7.6
4223,6.2
2106,5.7
2679,5.5
2761,8.2
4688,4.2
1387,6.4
5796,6.8
5588,7.5
1279,7.4
6055,7.2
1555,8.9
5583,6.0
3190,6.4
4566,6.8
4802,6.0
5955,7.0
4841,6.5
3594,8.3
1920,6.6
513,8.7
4177,7.5
1308,5.8
914,6.4
3452,6.4
3695,7.4
4242,7.4
3156,4.7
2198,7.4
774,8.3
4425,7.7
943,6.2
822,5.5
4277,5.8
164,6.7
4547,2.8
3983,6.7
2538,7.6
5891,6.7
1311,7.8
5612,7.3
5146,6.3
5731,6.5
3300,6.5
3310,7.8
327,5.9
2490,6.0
5785,4.1
4408,7.0
832,6.5
3079,7.7
3462,7.1
5406,6.3
54,5.8
4064,7.9
3451,6.0
1901,6.7
1481,6.4
4873,7.6
4895,8.0
4150,5.3
3335,8.4
4926,7.3
946,6.7
3293,6.2
2161,7.9
6175,7.3
3057,7.0
768,8.3
5805,6.4
3495,6.7
285,7.9
6104,2.5
4524,7.2
5490,7.2
2332,6.8
2717,6.7
2079,7.4
3389,8.0
722,8.0
951,7.6
5375,3.4
2262,6.1
989,6.8
3212,6.1
1759,8.7
5998,7.0
4422,8.2
1724,6.2
341,8.8
3701,6.0
4243,6.5
688,7.7
3432,6.9
4944,6.9
966,8.2
5831,2.9
2203,5.4
2713,7.0
4757,5.8
5434,8.6
5648,6.9
3572,6.6
4805,7.0
1990,6.2
4120,5.8
4759,6.7
5477,6.9
6176,6.0
4971,6.5
5850,8.3
5034,7.6
3600,4.7
5634,7.9
6149,7.2
5087,6.2
385,8.1
5381,6.9
5636,8.2
536,7.7
5760,7.4
5032,5.7
4212,3.3
3507,5.6
201,9.3
1332,7.7
3502,8.2
2708,6.6
5031,5.9
4662,6.6
4021,7.1
1854,6.4
5517,7.4
2872,7.5
3030,5.8
1205,7.5
1645,7.7
3417,No Rate
3476,7.2
2861,5.8
1792,6.5
3797,8.0
3368,6.0
3367,6.2
3533,4.6
5412,6.8
3449,6.7
603,7.7
3056,7.3
5365,8.7
126,8.8
3876,7.4
2935,6.4
4451,6.0
3531,6.5
2730,7.1
827,6.9
1639,7.0
984,7.3
3281,5.4
6140,8.0
2188,6.7
5686,8.2
2443,7.8
362,8.1
2349,6.4
345,8.4
814,8.7
4807,5.8
3205,4.8
5472,8.3
5917,6.0
3325,6.7
4106,7.0
2116,7.6
1834,7.4
793,8.5
6113,5.1
2674,6.7
94,6.7
4225,3.4
3756,8.1
2891,8.0
2371,5.9
5114,6.4
5468,6.2
3228,6.3
5501,5.1
2853,No Rate
2912,6.8
1865,5.3
4612,7.4
1857,5.1
2645,4.3
2243,7.5
2336,7.0
950,No Rate
3068,7.2
1120,7.6
2597,No Rate
2204,5.2
419,6.3
922,7.5
1254,5.5
477,7.6
2035,6.4
1202,8.1
2626,7.6
5942,7.9
1970,6.3
3110,6.6
4018,6.9
2151,6.6
3687,7.2
4916,4.9
1997,No Rate
4033,4.3
6059,7.1
3054,5.7
1248,6.8
2192,5.6
2712,6.3
992,8.1
2190,4.2
4670,6.7
5142,7.3
3762,4.6
3597,7.6
4711,3.0
1318,8.1
1863,8.1
2343,4.7
2449,5.8
2136,8.0
1065,6.9
6128,7.0
4227,4.2
2621,5.3
77,8.1
2898,6.7
4820,No Rate
1314,7.1
5384,6.5
872,5.9
3850,No Rate
5906,4.0
2965,8.0
3391,6.8
2560,7.4
6051,5.8
2635,5.8
3530,7.1
375,8.7
1908,8.5
4429,6.3
5335,5.6
6130,5.8
4027,7.1
1604,7.3
1118,7.0
3677,No Rate
3490,4.7
6007,6.6
2958,7.6
1994,7.2
6123,5.1
5359,7.2
2376,6.7
1342,7.9
320,8.9
1619,7.8
3713,7.2
2060,7.6
2219,7.3
1673,8.0
260,8.0
5447,7.6
2039,6.5
4785,7.8
901,9.0
3744,7.0
2026,4.5
4234,6.5
1917,6.3
1828,8.1
1573,7.4
4415,8.7
4749,7.8
5413,7.4
4654,7.0
4208,6.0
4627,5.7
224,7.6
723,7.3
5537,6.5
1141,7.9
2762,7.3
846,6.8
4289,7.2
5042,4.8
2551,5.2
2928,8.2
117,7.9
645,8.0
3,6.4
4170,8.6
467,7.6
5,8.8
919,6.2
2595,7.8
4324,4.6
1063,7.8
2590,6.2
242,5.9
5366,6.7
1160,7.1
2870,7.5
3735,6.9
2397,7.3
3517,No Rate
3421,5.9
2563,6.9
1605,7.5
5954,6.5
2324,6.2
2709,7.8
5419,6.4
1312,8.1
3448,7.6
3812,7.9
5743,5.4
2362,6.4
1975,6.3
3514,7.4
1761,6.4
2739,6.0
5751,7.1
2472,6.1
4007,6.3
4718,6.4
1493,8.1
4206,No Rate
2158,8.4
1169,7.4
5576,6.4
232,7.7
66,7.9
1603,6.6
3283,7.4
3596,7.2
4632,6.8
125,8.6
1296,7.5
1976,7.7
5577,7.3
5532,5.5
2075,5.1
4580,8.0
3086,7.1
5349,7.2
3345,6.8
5558,7.0
2797,7.7
918,6.4
1646,6.8
5122,7.7
5126,6.9
4978,7.0
4621,7.8
364,7.4
3287,7.3
2125,7.6
4123,7.8
4569,6.9
525,6.8
4821,4.9
55,6.3
638,8.8
302,7.6
2766,8.1
1276,5.9
4720,7.3
2055,7.5
5145,7.3
4432,6.2
3644,7.8
4143,8.9
2878,7.6
4202,7.8
5175,8.3
2286,7.3
2261,6.8
5240,7.7
2296,5.3
1753,6.9
5197,7.3
1968,6.5
5355,4.8
3117,8.8
2393,6.2
523,6.5
3900,7.3
5756,5.1
4699,6.4
5443,6.2
3122,6.2
4156,8.4
1969,3.7
671,7.5
4188,5.4
666,7.5
5341,5.4
1887,7.5
3266,8.1
280,6.8
1719,6.7
2947,7.1
4455,8.4
899,7.9
5985,3.7
760,7.3
1906,6.5
4042,6.1
3823,6.5
4138,5.5
3818,7.6
4300,6.8
2593,7.4
4164,4.1
3031,No Rate
3579,5.8
2832,6.7
3472,7.4
137,7.7
4892,5.7
2180,7.2
2128,6.8
3177,6.2
4854,6.7
4637,5.9
5115,6.3
5376,7.1
4261,5.8
4344,5.7
1331,7.0
2017,6.0
4542,8.1
2482,5.6
1358,6.5
1329,6.4
6086,6.2
2150,5.4
4530,7.4
2122,7.6
4673,7.5
3981,6.1
1252,7.5
3278,5.7
3374,8.8
2814,7.4
4719,6.8
1848,6.6
4858,6.7
3037,7.5
388,7.7
235,5.5
1077,7.8
1984,6.5
4363,5.5
3962,6.4
770,8.1
2165,6.1
4533,5.4
673,6.3
249,7.6
1574,7.4
3419,7.1
2081,6.6
1823,6.6
5713,5.8
5905,6.6
4544,6.9
716,7.0
5503,6.3
5763,5.7
2048,8.8
5264,7.1
4178,7.3
4809,3.9
2724,No Rate
6049,6.9
1460,7.6
1668,6.6
2756,5.8
2000,6.6
4571,5.2
4613,5.7
404,6.8
384,5.6
5544,No Rate
2152,4.0
1633,5.7
5657,5.6
4784,6.7
3925,6.7
5336,6.1
4158,6.8
4948,6.9
5358,6.0
223,6.9
2193,5.8
3136,5.1
4469,6.3
1824,5.4
5672,7.0
5124,3.4
4972,6.4
797,6.7
2871,6.4
9,8.3
1944,6.6
1838,6.9
4804,6.5
255,5.3
4485,5.4
5563,6.6
1581,7.8
2956,7.5
924,7.2
5465,7.6
2508,7.0
5024,8.3
5320,8.6
3775,6.4
4835,3.7
4136,6.7
4964,4.8
2779,7.1
539,8.2
2745,8.3
5550,8.3
5638,6.2
5467,6.8
1145,8.1
5127,8.3
4468,6.9
667,7.9
3019,8.3
357,4.3
5063,4.7
2831,6.2
2783,7.3
1353,5.7
5131,6.1
470,6.9
2703,7.3
3330,6.8
3637,6.0
1396,7.3
3584,5.4
5538,6.0
5262,7.6
3376,7.6
1256,7.9
3512,8.0
1250,6.7
5348,7.3
5931,6.7
4298,7.7
3284,8.1
2933,6.5
4175,3.0
5268,5.8
4910,5.3
1852,7.4
5776,7.6
6013,6.6
2105,7.1
133,8.3
5236,6.4
5029,6.0
928,7.3
823,8.3
5608,6.2
1531,7.0
1214,8.6
504,7.7
4285,5.9
1996,7.3
3072,8.0
1958,6.7
1384,6.9
894,6.6
4924,8.5
455,8.2
5721,5.2
3709,5.7
5696,4.8
4849,8.4
4748,7.8
4268,8.6
3522,4.1
4134,6.8
3602,6.1
713,8.0
4186,6.1
2214,7.7
5301,5.5
2923,7.8
1810,8.7
3486,7.7
3141,6.5
1827,8.1
1155,8.1
1324,7.3
4312,4.1
510,7.0
1680,7.3
499,7.5
5599,7.2
1856,6.2
1388,8.4
3719,5.4
2386,8.4
5541,7.5
3236,6.9
1540,5.5
1217,6.9
2681,7.2
2993,4.8
5512,6.7
1191,8.6
5293,8.9
1542,6.8
3301,8.4
3324,4.4
2539,3.8
953,8.3
4846,8.1
4330,7.2
732,8.3
6169,6.6
1156,8.3
5720,No Rate
3294,7.9
2982,7.0
5305,7.5
5161,6.3
2156,8.0
1062,7.6
2616,7.0
1167,8.9
3222,6.3
3636,7.2
2938,7.2
4491,7.5
3140,5.0
4980,5.8
143,No Rate
6120,7.6
3577,5.4
4946,6.2
2782,6.0
717,6.4
1819,7.3
2502,6.5
4360,7.7
4171,6.7
395,7.5
5968,4.1
4492,6.5
1365,7.3
5779,7.1
595,4.6
3952,6.4
5392,7.4
4968,6.6
2914,7.9
2326,7.8
3766,7.1
3440,5.0
3851,4.8
4132,7.9
5662,4.3
2143,6.3
5693,6.3
5073,6.3
1571,7.0
4079,5.5
1122,7.6
2786,6.7
2967,6.7
2504,6.9
3465,7.0
675,8.4
2808,7.9
3348,6.6
728,6.6
412,8.6
3146,7.5
1516,7.7
825,5.4
3267,7.1
3974,3.4
616,6.7
114,6.3
417,6.3
3069,6.1
1625,7.6
6117,5.7
4185,5.6
2896,6.2
5766,7.1
2082,7.4
753,6.7
2546,8.5
3969,6.1
3373,7.1
4107,5.3
2444,7.8
4380,7.4
1066,8.1
3913,4.7
5287,5.3
5536,6.5
5387,6.5
3498,7.2
2738,6.8
5052,6.6
4000,6.5
1568,7.9
2427,7.8
3746,5.3
5724,No Rate
1687,5.3
851,7.4
3546,6.0
895,5.3
4592,6.5
335,6.1
2839,7.6
3087,6.5
4611,6.6
1348,6.7
1015,7.1
2816,7.9
1631,6.6
2489,6.2
3730,5.9
3251,6.1
5718,6.5
2070,6.5
4452,5.7
6031,4.9
5408,8.0
1635,5.4
4646,6.8
2479,6.9
2265,7.5
2959,8.6
5323,6.6
5837,7.2
3059,6.9
5053,4.7
2141,8.0
5104,7.4
3118,7.8
5188,7.6
5829,6.3
4045,6.0
3356,4.0
2744,7.3
5092,7.3
3506,4.2
1679,6.9
4249,5.1
3147,7.3
2294,7.9
580,5.8
1470,7.4
4799,6.7
4070,8.1
5308,6.8
3343,7.7
4992,5.6
4583,6.8
3672,6.9
559,8.4
5237,7.7
5215,6.2
2849,7.6
512,8.4
4729,6.2
1081,7.1
1664,5.3
1012,6.5
1931,6.8
1150,7.0
2838,6.9
116,No Rate
740,6.3
5930,6.7
5177,7.1
3675,6.8
830,7.9
119,5.8
4752,6.8
5895,4.9
5846,6.3
6106,7.2
635,6.9
4465,5.6
4364,7.4
4142,7.3
991,7.8
876,No Rate
4869,8.6
5315,4.9
5222,5.8
4,8.3
3051,6.4
5691,6.3
3124,7.3
2660,7.7
2491,6.3
5173,6.0
3854,6.5
4933,6.3
4777,7.3
1715,7.5
1148,7.7
3261,5.6
574,6.4
3769,8.5
3736,8.2
4146,7.6
853,8.0
1982,6.5
2774,8.7
4929,4.9
5211,7.1
1166,6.7
971,7.3
2701,6.2
4495,7.3
3847,6.2
2368,7.1
4115,No Rate
4780,6.7
4131,5.1
2950,5.7
5625,7.5
524,7.8
2455,8.5
5016,7.1
1841,5.5
537,7.7
2806,6.4
5596,5.5
4341,6.3
3175,6.4
784,6.9
4057,8.3
1409,7.5
2537,4.6
154,6.8
3009,7.4
1686,8.3
2901,7.1
6116,8.0
4721,No Rate
3863,3.7
2733,6.5
1895,8.3
5442,6.8
569,6.4
1816,8.5
2065,6.1
127,8.4
3394,6.9
3327,5.9
6155,6.8
2975,7.6
980,No Rate
2300,6.5
190,8.5
1139,7.7
5088,6.2
699,7.8
5896,6.8
606,7.7
4276,7.7
301,No Rate
3420,8.0
5944,6.9
1060,8.1
2565,4.8
6166,7.1
1069,8.3
2524,6.6
2205,8.1
1243,6.5
16,8.8
3120,8.2
6157,6.9
4642,7.3
4754,7.4
815,7.3
3067,8.2
5901,6.2
5600,5.8
959,8.1
4893,7.6
225,No Rate
3354,4.7
2485,4.8
562,7.0
3436,5.2
1693,6.4
1045,6.5
3446,7.5
4565,6.3
954,6.6
6154,7.5
2735,5.6
6060,5.3
4735,6.2
5947,7.7
1218,8.3
5254,8.3
5511,6.8
1527,7.9
3987,7.3
6097,7.7
1300,7.8
6044,7.8
5699,7.9
160,7.2
4067,7.1
5800,6.8
956,7.7
3791,7.1
3234,8.2
2869,7.3
3777,5.2
4433,6.0
4973,5.1
2961,6.1
2200,7.2
98,6.7
6006,6.6
2557,7.5
3183,7.4
253,7.6
3923,6.3
4199,7.2
1445,8.0
5539,7.4
1648,7.3
4682,5.9
4723,7.6
3991,4.3
1696,6.9
3191,6.4
4499,6.5
1154,7.7
2255,6.5
1682,5.7
3170,7.7
2056,8.1
4090,7.7
6026,5.7
3108,7.8
4548,7.7
3723,7.5
5423,8.0
2049,6.5
4976,6.4
3643,7.4
6092,6.7
623,5.5
5883,7.1
262,7.4
5730,8.0
3369,6.8
4061,7.1
5534,7.9
1802,6.6
4736,5.1
6164,6.4
2385,4.4
5759,5.8
1959,6.8
2976,6.2
488,6.7
1843,5.9
1734,8.4
2911,5.8
3219,6.1
146,5.2
