,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
915,Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,18,10,13,1,1,118,B,Minor,82,75,85,33,1,11,4
340,Heaven,Niall Horan,1,2023,2,17,1553,2,61,6,48,0,150,92,F,Major,57,68,76,7,0,33,3
431,Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0,70,0,49,0,0,82,A,Major,70,31,34,60,1,11,4
523,Starry Eyes,The Weeknd,1,2022,1,7,1014,0,1,17,11,0,0,86,A,Minor,28,13,41,50,0,19,3
793,House Of Memories,Panic! At The Disco,1,2016,1,15,2948,0,10,2,150,0,0,110,B,Minor,51,48,82,0,0,5,3
670,Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,57,13,50,1,7,172,B,Minor,31,4,86,1,0,28,17
203,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10
601,Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,7,3,89,0,0,158,G#,Minor,46,62,83,53,0,97,28
445,It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,14,12353,0,35,0,549,0,0,93,E,Major,35,38,23,91,0,29,3
237,Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8
93,Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4
530,The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,6,240,107,268,0,5,118,G,Minor,75,46,76,3,0,9,4
878,die first,Nessa Barrett,1,2022,6,24,767,0,25,0,22,0,0,183,G#,Minor,44,44,67,7,0,12,13
593,Rolling in the Deep,Adele,1,2010,11,29,35684,6,195,125,"6,280",2,78,105,G#,Major,73,52,76,13,0,5,3
797,Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,0,0,0,0,0,104,G,Major,44,74,42,88,0,9,9
284,METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10
184,Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3
765,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,38,13,32,0,0,101,C#,Minor,78,40,74,36,0,17,27
777,Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,8,30,13,1,1,103,C#,Minor,80,45,62,76,0,10,38
434,Woman,Doja Cat,1,2021,6,25,9424,0,202,50,463,4,,108,F,Minor,82,88,76,9,0,12,9
932,Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,24,8,17,0,1,122,E,Minor,75,45,63,6,0,35,12
153,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20
75,Viva La Vida,Coldplay,1,2008,1,1,33898,62,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3
450,Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,0,144,99,251,0,0,160,G#,Major,51,69,81,0,0,21,5
697,Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,45,27,"1,197",0,43,106,G#,Major,44,8,20,74,42,11,3
584,Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,0,237,27,636,0,,91,G,Minor,70,76,72,22,0,27,4
277,Komang,Raim Laode,1,2022,8,16,158,4,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3
68,Overdrive,Post Malone,1,2023,7,14,410,36,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4
446,Santa Tell Me,Ariana Grande,1,2013,12,13,9408,0,231,106,439,0,,133,G,Major,46,53,63,5,0,30,18
598,The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,255,32,582,0,14,120,G#,Minor,80,24,62,41,2,11,23
486,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,33,57,30,0,11,110,A,Major,66,19,32,69,0,12,4
188,Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5
271,PROVENZA,Karol G,1,2022,4,21,6587,34,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5
236,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4
487,Maroon,Taylor Swift,1,2022,10,21,2304,0,12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6
117,Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17
811,Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,135,74,119,1,18,127,A#,Major,77,53,78,19,0,29,4
512,Take My Breath,The Weeknd,1,2021,8,6,2597,0,17,80,38,0,0,121,A#,Minor,70,35,77,1,0,26,4
525,One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,0,68,18,75,0,1,97,C#,Major,68,72,78,4,0,7,5
721,"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,10,0,70,0,0,164,A#,Minor,70,71,58,24,0,7,13
126,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,201,44,"6,551",2,0,146,D,Major,63,88,93,3,0,10,8
116,Tattoo,Loreen,1,2023,2,25,2988,59,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8
473,F2F,SZA,1,2022,12,9,989,0,5,9,1,0,0,90,D,Major,53,47,74,9,0,34,4
660,Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,0,13,0,113,1,3,115,C#,Major,60,37,71,8,0,48,4
57,La Bachata,Manuel Turizo,1,2022,5,26,6804,45,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4
796,In The Stars,Benson Boone,1,2022,4,29,2224,8,48,40,87,1,210,78,A#,Major,36,30,54,34,0,14,5
867,Ojos Marrones,Lasso,1,2022,2,6,795,11,26,18,15,1,4,120,G#,Minor,81,72,65,4,0,14,4
369,Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,15,19,59,18,5,52,98,B,Major,73,88,57,56,0,5,2
268,Slut Me Out,NLE Choppa,1,2022,4,22,816,4,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42
46,I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5
349,Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,1,10,1,0,1,140,B,Major,58,26,38,91,0,10,4
195,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3
952,Alone,Burna Boy,1,2022,11,4,782,2,27,18,32,1,0,90,E,Minor,61,32,67,15,0,11,5
794,Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,1,0,3,0,0,174,A,Major,73,26,54,30,0,34,32
850,Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,63,8,270,2,105,148,G,Major,51,21,63,5,0,41,3
263,Cupid,Fifty Fifty,1,2023,2,24,526,10,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3
443,Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,0,191,168,206,0,,140,G#,Major,70,85,41,71,0,45,5
643,25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,17,3,3,0,0,115,F,Minor,90,74,54,16,0,13,28
304,SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20
341,LET GO,Central Cee,1,2022,12,15,2301,20,49,23,110,0,8,146,D,Minor,74,51,45,86,0,21,38
920,BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,14,1,13,0,0,102,A,Major,84,43,75,5,0,6,8
149,El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5
124,Por las Noches,Peso Pluma,1,2021,6,11,457,24,8,116,4,3,2,92,,Major,81,39,60,31,0,7,3
749,sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,32,0,49,0,0,135,D#,Minor,93,77,45,25,0,13,27
50,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5
353,Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,66,26,277,3,734,100,A,Minor,59,49,65,2,0,13,3
882,Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,53,2,33,0,0,120,,Major,77,94,87,2,0,23,12
142,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25
470,Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,0,50,0,6,0,0,180,A,Major,51,87,58,36,0,18,4
399,TV,Billie Eilish,1,2022,7,21,3009,2,68,89,65,0,25,141,E,Minor,41,9,25,84,1,14,4
596,favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,20,21,99,0,7,173,A,Major,40,19,29,86,0,34,4
320,Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,21,0,386,0,,80,G#,Major,63,40,61,9,0,56,6
19,Like Crazy,Jimin,1,2023,3,24,596,68,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4
770,Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,7,21,11,0,0,142,,Major,87,93,59,28,0,17,5
753,MANIAC,Stray Kids,1,2022,3,18,651,0,6,188,20,0,0,120,C#,Major,58,71,80,15,0,7,41
930,Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,0,0,30,0,0,161,A#,Minor,59,62,60,12,0,5,44
407,Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,532,77,"1,535",3,8,124,B,Minor,79,68,79,1,0,10,8
537,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,50,49,30,1,2,93,,Major,63,21,52,28,0,9,3
591,Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,205,130,625,0,25,112,D#,Major,45,19,60,63,0,9,6
38,Style,Taylor Swift,1,2014,1,1,7830,42,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4
175,Reminder,The Weeknd,1,2016,11,25,6518,17,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22
245,Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24
789,El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,9,7,14,0,1,118,G#,Major,63,60,70,5,0,9,31
636,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,143,24,110,0,70,120,G,Major,72,67,72,0,0,13,4
718,Hope,XXXTENTACION,1,2018,3,16,3659,0,11,10,267,0,7,146,A,Minor,59,23,46,66,0,15,6
817,10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,23,1,15,0,0,154,G#,Major,54,45,79,1,0,17,5
154,Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5
287,Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6
783,Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,1,0,5,0,0,72,A#,Minor,56,56,47,76,0,8,36
569,Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,17,5,21,0,0,84,D,Major,67,78,63,29,0,12,5
707,"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,7,11,13,0,0,71,C#,Minor,59,70,74,56,0,11,40
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,80,227,95,24,"1,173",78,,Major,44,14,9,96,0,10,3
127,Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,437,115,"1,212",12,,95,,Major,55,56,82,12,0,34,5
322,I Love You So,The Walters,1,2014,11,28,7536,7,44,19,135,0,6,76,A#,Major,58,46,67,65,0,13,4
255,Curtains,Ed Sheeran,1,2023,5,5,715,0,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5
626,Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,118,116,96,0,3,168,C#,Major,67,29,47,5,0,22,26
918,THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,78,65,328,1,198,130,D,Major,52,24,60,0,0,8,3
190,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5
115,No Role Modelz,J. Cole,1,2014,12,9,21164,36,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33
587,Miserable Man,David Kushner,1,2022,1,7,788,0,13,0,32,1,0,110,A#,Major,63,31,35,93,0,29,3
180,Night Changes,One Direction,1,2014,11,17,7124,18,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4
301,"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30
723,Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,36,2,11,0,14,126,A,Minor,67,37,46,13,0,10,39
679,Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,42,7,15,0,4,92,D,Minor,73,37,74,28,0,14,6
784,Aguacero,Bad Bunny,1,2022,5,6,829,0,4,15,10,0,0,121,F#,Minor,86,67,65,42,0,35,7
652,The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,46,1,34,0,0,134,,Major,53,31,31,92,0,28,3
630,Mr. Brightside,The Killers,1,2003,9,23,51979,15,306,99,"5,063",2,120,148,C#,Major,35,24,93,0,0,10,8
517,I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,9,10,9,0,0,110,D,Major,75,85,84,10,0,31,19
937,Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,26,9,17,0,3,104,C#,Major,73,25,61,1,0,32,7
45,Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3
864,ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,37,2,38,2,0,110,C#,Major,91,59,82,8,0,6,8
157,Counting Stars,OneRepublic,1,2013,1,1,29215,43,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4
708,Jordan,Ryan Castro,1,2021,4,30,2844,2,29,2,35,1,0,180,A#,Minor,80,71,68,6,0,10,37
171,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4
16,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3
511,Less Than Zero,The Weeknd,1,2022,1,7,2800,0,18,77,61,0,1,143,,Major,53,50,79,0,0,8,3
48,Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28
924,2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,41,0,158,2,68,156,G,Major,72,92,77,9,0,8,11
800,Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0,52,9,46,0,1,81,G,Major,38,20,66,9,0,9,8
515,Best Friends,The Weeknd,1,2022,1,7,1292,0,3,18,14,0,0,87,E,Minor,49,49,59,44,0,35,21
653,The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,142,40,"5,451",1,953,95,D#,Minor,92,31,89,3,0,8,25
480,I Hate U,SZA,1,2021,12,3,4094,0,66,96,43,0,0,107,G,Minor,54,41,39,51,0,11,16
283,Lovers Rock,TV Girl,1,2014,6,5,6339,13,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4
678,212,"Mainstreet, Chefin",2,2022,1,15,352,0,10,0,39,0,0,154,D,Minor,79,86,52,66,0,9,7
225,Bite Me,ENHYPEN,1,2023,5,22,349,69,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14
26,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4
745,Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,12,2,4,0,0,92,,Major,86,91,79,29,0,60,16
437,"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6
905,BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,49,1,67,11,1,100,C#,Major,90,75,50,11,0,9,26
364,Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,6,1,21,0,1,83,C#,Major,53,40,36,73,0,11,33
229,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5
37,Blank Space,Taylor Swift,1,2014,1,1,11434,53,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6
919,Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,16,0,9,0,0,83,D#,Minor,65,24,53,6,0,51,4
374,ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,14,24,94,9,0,23,158,F#,Minor,60,52,76,17,0,19,5
469,White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,0,73,79,123,0,0,96,A,Major,23,19,25,91,0,40,3
921,Nxde,(G)I-DLE,1,2022,10,17,430,6,14,116,9,0,11,136,E,Minor,73,65,91,4,0,48,18
810,TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2,23,16,9,0,5,174,C#,Major,68,45,71,18,0,11,25
692,Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,8,0,29,0,0,117,C#,Major,92,62,86,11,0,24,24
194,Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10
813,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,26,1,17,0,0,150,G#,Minor,82,82,66,13,0,11,6
823,This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,26,2,15,0,2,144,E,Major,47,7,50,32,0,7,4
503,Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,65,7,70,16,6,109,F,Major,60,45,47,62,0,31,5
923,we fell in love in october,girl in red,1,2018,11,21,6858,0,31,21,15,0,4,130,G,Major,57,24,37,11,18,16,3
790,Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,162,116,355,7,0,176,D,Major,61,24,62,60,0,24,31
579,Freaks,Surf Curse,1,2015,5,10,3006,3,23,21,121,0,13,180,A,Major,35,41,94,0,63,5,5
922,Miss You,Southstar,1,1982,5,16,2020,0,77,10,119,0,40,145,A,Major,66,24,58,17,0,19,5
162,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5
669,Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,78,15,"1,674",0,3,134,G#,Major,93,61,74,9,0,17,8
152,Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,119,81,974,1,503,130,,Major,47,86,92,8,0,5,24
737,Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,49,17,30,0,0,98,G,Minor,83,63,74,14,0,16,6
667,"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,19,5,12,0,0,174,F,Minor,67,74,75,44,0,7,30
847,Cinema,Harry Styles,1,2022,5,20,2171,0,18,1,28,0,0,106,A,Minor,83,90,64,35,5,9,4
111,Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3
226,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3
655,City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,34,3,30,0,0,147,G#,Minor,47,50,80,10,0,32,38
103,Mockingbird,Eminem,1,2004,1,1,12985,61,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28
421,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,12,22,12,0,2,88,G,Minor,49,24,66,19,0,18,29
419,Gatita,Bellakath,1,2022,10,3,1054,0,9,0,15,0,1,101,G,Major,90,76,81,15,24,33,6
714,Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,26,1,19,0,0,104,D,Minor,80,24,65,2,0,9,4
586,DANCE CRIP,Trueno,1,2021,11,17,731,0,14,14,24,0,4,106,,Major,86,86,79,11,0,8,9
743,Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,14,0,11,0,0,82,A#,Major,79,48,84,13,0,21,23
119,august,Taylor Swift,1,2020,7,24,7324,22,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3
53,(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4
151,Bye,Peso Pluma,1,2023,5,26,324,14,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5
403,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,10,537,122,"2,726",6,,124,A,Minor,79,59,86,4,0,8,11
899,Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,4967,0,165,10,177,4,73,126,,Major,67,49,77,11,0,19,11
207,Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4
803,PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,28,42,23,0,0,125,G#,Major,88,28,66,6,0,13,31
852,Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,107,76,86,1,9,120,,Minor,91,63,77,12,1,10,5
8,fukumean,Gunna,1,2023,5,15,1096,83,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9
795,That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,16,81,23,0,0,130,E,Major,91,91,96,3,0,3,9
36,Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3
452,Holly Jolly Christmas,Michael Bublï¿,1,2011,10,14,7655,0,5,0,291,0,0,151,G,Major,65,70,47,87,0,9,4
651,Boyfriend,Dove Cameron,1,2022,2,11,3766,0,76,0,102,0,2,180,G,Minor,35,23,61,23,0,19,6
253,Glimpse of Us,Joji,1,2022,6,10,6330,6,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5
303,10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10
710,Chale,Eden Muï¿½ï,1,2022,2,18,695,11,16,41,13,1,1,189,G#,Major,55,86,44,40,0,7,4
571,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,237,123,569,0,10,148,F,Major,59,72,62,18,0,9,3
623,All of Me,John Legend,1,2013,8,1,27221,0,308,118,"4,534",2,77,120,G#,Major,42,33,26,92,0,13,3
735,Wait a Minute!,Willow,1,2015,1,11,11985,0,79,80,250,3,10,101,D#,Minor,76,63,71,3,0,10,3
906,Ferxxo 100,Feid,1,2022,6,3,1647,30,20,49,23,2,2,164,G#,Minor,70,58,57,25,0,15,7
262,ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3
610,Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,146,18,478,0,7,150,E,Minor,78,47,70,18,0,15,9
297,Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6
414,Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,0,14,1,50,0,0,87,G,Major,87,52,52,31,0,28,24
150,Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5
751,Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,46,8,60,0,0,88,G,Major,89,59,64,5,0,19,7
640,'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,78,46,"2,515",1,0,171,C#,Major,55,10,85,7,0,8,20
845,Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,109,38,301,1,33,122,C#,Major,85,42,80,6,0,17,14
550,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,63,40,76,0,0,82,D,Major,63,85,62,6,0,35,4
754,There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,0,229,57,"1,370",2,71,122,D,Major,86,97,80,36,0,9,6
488,Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,21,0,44,0,0,130,E,Minor,89,48,74,30,0,7,36
147,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,107,69,"5,239",0,558,172,A,Major,45,33,59,6,0,8,3
146,Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4
687,Christmas Tree,V,1,2021,12,24,509,9,8,106,6,0,8,139,F,Major,44,18,38,70,0,12,4
