,Name,Date,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
2331,Ammonite,2020,"13,011","Biography, Drama, History",120 ,Film,R,-,Severe,None,Mild,None,None
1298,Final Destination 2,2003,"159,109","Horror, Thriller",90 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
3770,Friday the 13th Part VII: The New Blood,1988,"35,105","Horror, Thriller",88 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
4322,The Apartment,1960,"172,677","Comedy, Drama, Romance",125 ,Film,Approved,-,Mild,Mild,None,Mild,Mild
4589,Mr. Right,2015,"53,543","Action, Comedy, Romance",95 ,Film,R,-,Mild,Moderate,Severe,Mild,Mild
82,The Good Doctor,2021,"78,703",Drama,41 ,Series,TV-14,80,Mild,Moderate,Mild,Mild,Mild
5043,Shrek Forever After,2010,"193,816","Animation, Adventure, Comedy",93 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
4184,The Big Chill,1983,"35,267","Comedy, Drama",105 ,Film,R,-,Mild,None,Moderate,Moderate,Mild
4823,I Still Believe,2020,"10,393","Biography, Drama, Music",116 ,Film,PG,-,None,None,None,None,Mild
5096,St. Elsewhere,2012,"4,168","Comedy, Drama",60 ,Series,TV-PG,137,No Rate,No Rate,No Rate,No Rate,No Rate
4856,Creeped Out,2014,"1,655","Drama, Family, Fantasy",30 ,Series,TV-Y7,23,Mild,Moderate,Mild,None,Severe
3439,Good Grief,2013,79,Comedy,None,Series,None,7,No Rate,No Rate,No Rate,No Rate,No Rate
2903,Andhadhun,2018,"83,444","Crime, Drama, Music",139 ,Film,Not Rated,-,Mild,Moderate,Mild,Mild,Moderate
423,The Wonder Years,2019,"1,855","Comedy, Drama, Family",None,Series,TV-PG,9,Moderate,Mild,Moderate,Mild,Mild
5342,DCI Banks,2020,"6,723","Crime, Drama, Mystery",45 ,Series,TV-14,32,Severe,Moderate,Mild,Moderate,Moderate
1904,The Godfather: Part III,1990,"376,230","Crime, Drama",162 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
5601,The Golden Child,1986,"54,371","Action, Adventure, Comedy",94 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
1530,Baking Impossible,2012,251,"Game-Show, Reality-TV",None,Series,TV-PG,8,No Rate,No Rate,No Rate,No Rate,No Rate
4373,The Little Hours,2017,"21,713","Comedy, Romance",90 ,Film,R,-,Moderate,Mild,Severe,Mild,Mild
1565,Casablanca,1942,"544,369","Drama, Romance, War",102 ,Film,PG,-,None,Mild,None,Mild,Mild
4563,Superhost,2021,"1,362","Horror, Thriller",84 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
2749,Lone Survivor,2013,"276,237","Action, Biography, Drama",121 ,Film,R,-,None,Severe,Severe,Mild,Severe
839,12 Angry Men,1957,"732,301","Crime, Drama",96 ,Film,Approved,-,None,None,None,Mild,Mild
500,Avatar: The Last Airbender,1974,"273,781","Animation, Action, Adventure",23 ,Series,TV-Y7-FV,62,None,Mild,None,None,Moderate
4002,Billy Elliot,2000,"130,745","Drama, Music",110 ,Film,R,-,Mild,Mild,Severe,Mild,Mild
141,Titanic,1997,"1,096,676","Drama, Romance",194 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Severe
5098,Algoissjiman,2021,"2,324","Drama, Romance",70 ,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
2605,Prospect,2018,"25,460","Adventure, Drama, Sci-Fi",100 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
5524,"Auf Wiedersehen, Pet",2017,"3,229","Comedy, Drama",60 ,Series,None,40,No Rate,No Rate,No Rate,No Rate,No Rate
1377,Enola Holmes,2020,"150,248","Action, Adventure, Crime",123 ,Film,PG-13,-,None,Mild,None,None,Mild
4795,Mean Streets,1973,"104,967","Crime, Drama, Thriller",112 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
6058,Adventureland,2009,"156,494","Comedy, Drama, Romance",107 ,Film,R,-,Mild,Mild,Moderate,Moderate,None
2266,Isle of Dogs,2018,"152,176","Animation, Adventure, Comedy",101 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
3213,Casualty,2019,"2,855",Drama,50 ,Series,TV-PG,1234,Mild,Severe,Mild,Moderate,Moderate
1138,The Love Boat,2019,"10,352","Comedy, Drama, Romance",60 ,Series,TV-G,250,No Rate,No Rate,No Rate,No Rate,No Rate
2257,Shin seiki evangerion,2010,"58,648","Animation, Action, Drama",24 ,Series,TV-MA,26,Moderate,Severe,Moderate,Mild,Severe
5257,In the Cut,2003,"23,076","Mystery, Thriller",119 ,Film,R,-,Severe,Severe,Severe,Mild,Severe
1787,Dallas Buyers Club,2013,"462,655","Biography, Drama",117 ,Film,R,-,Severe,Moderate,Severe,Severe,Moderate
3844,Mistresses,2021,"13,116","Drama, Romance, Thriller",43 ,Series,TV-14,52,Mild,No Rate,No Rate,No Rate,No Rate
550,Star Wars: Episode IX - The Rise of Skywalker,2019,"405,145","Action, Adventure, Fantasy",141 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
459,Spider-Man: Far from Home,2019,"384,196","Action, Adventure, Sci-Fi",129 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
2019,I See You,2019,"42,984","Crime, Drama, Horror",98 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
948,The Last of the Mohicans,1992,"159,819","Action, Adventure, Drama",112 ,Film,R,-,Mild,Moderate,None,None,Moderate
3404,The Age of Innocence,1993,"56,857","Drama, Romance",139 ,Film,PG,-,Mild,None,None,Mild,None
5981,Star Trek: First Contact,1996,"121,655","Action, Adventure, Drama",111 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
532,The Leftovers,2011,"87,956","Drama, Fantasy, Mystery",60 ,Series,TV-MA,28,Severe,Moderate,Severe,Moderate,Moderate
4982,The Oval,2021,"1,029",Drama,60 ,Series,TV-14,50,Moderate,No Rate,No Rate,No Rate,No Rate
1829,Hustlers,2019,"91,362","Comedy, Crime, Drama",110 ,Film,R,-,Moderate,Mild,Moderate,Severe,Mild
4229,Menace II Society,1993,"55,261","Crime, Drama, Thriller",97 ,Film,R,-,Mild,Severe,Severe,Severe,Severe
5448,Adaptation.,2002,"186,497","Comedy, Drama",115 ,Film,R,-,Moderate,Moderate,Moderate,Moderate,Moderate
4913,Corner Gas,1988,"6,745",Comedy,30 ,Series,TV-14,107,None,None,Mild,Mild,None
3570,Crank,2006,"242,113","Action, Crime, Thriller",88 ,Film,R,-,Severe,Severe,Severe,Severe,Severe
1602,Star Wars: Episode V - The Empire Strikes Back,1980,"1,208,700","Action, Adventure, Fantasy",124 ,Film,PG,-,None,Mild,None,None,Moderate
2238,The Thin Red Line,1998,"180,632","Drama, History, War",170 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
639,Donnie Darko,2001,"765,552","Drama, Mystery, Sci-Fi",113 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Moderate
5963,Petticoat Junction,2018,"2,836",Comedy,30 ,Series,TV-G,222,No Rate,No Rate,No Rate,No Rate,No Rate
967,"Il buono, il brutto, il cattivo",1966,"720,032",Western,161 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
5216,Flatliners,1990,"83,704","Drama, Horror, Sci-Fi",115 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
3929,Petite maman,2021,"1,106","Drama, Fantasy",72 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
1683,Elysium,2013,"432,136","Action, Drama, Sci-Fi",109 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
2248,Implanted,2021,"2,029","Sci-Fi, Thriller",96 ,Film,Unrated,-,No Rate,No Rate,No Rate,No Rate,No Rate
4246,Gamer,2009,"132,645","Action, Sci-Fi, Thriller",95 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
5518,Dream Horse,2020,"2,633","Biography, Comedy, Drama",113 ,Film,PG,-,None,Mild,Mild,Moderate,Mild
5261,Sleeping with the Enemy,1991,"54,035","Drama, Thriller",99 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
155,Manifest,2022,"39,468","Drama, Mystery, Sci-Fi",43 ,Series,TV-14,62,Mild,Mild,Mild,None,Mild
2295,Sleepaway Camp,1983,"29,814",Horror,84 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
3728,The Last Witch Hunter,2015,"100,005","Action, Adventure, Fantasy",106 ,Film,PG-13,-,None,Moderate,None,Mild,Moderate
5415,Big Shot,2006,"3,228","Comedy, Drama, Sport",None,Series,TV-PG,11,Mild,None,Mild,Mild,None
1089,Halloween: The Curse of Michael Myers,1995,"33,723","Horror, Thriller",87 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
3967,The First Purge,2018,"60,219","Action, Horror, Sci-Fi",97 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
2319,The Patriot,2000,"263,252","Action, Drama, History",165 ,Film,R,-,None,Severe,Mild,Mild,Moderate
2940,The Dark Tower,2017,"133,675","Action, Adventure, Fantasy",95 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
5221,R.I.P.D.,2013,"124,870","Action, Adventure, Comedy",96 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
288,Killers of the Flower Moon,2021,No Votes,"Crime, Drama, History",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
930,Pitch Perfect,2012,"290,316","Comedy, Music, Romance",112 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
2909,Footloose,1984,"75,330","Drama, Music, Romance",107 ,Film,PG,-,Mild,Moderate,Moderate,Mild,Mild
3793,¿Quién Mató a Sara?,2021,"11,162","Crime, Drama, Mystery",None,Series,TV-MA,19,Severe,Moderate,Severe,Mild,Moderate
4790,Vantage Point,2008,"147,829","Action, Crime, Drama",90 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
2884,Holes,2003,"82,652","Adventure, Comedy, Drama",117 ,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
3573,Jessie,2001,"14,245","Comedy, Drama, Family",30 ,Series,TV-G,98,Mild,None,None,None,Mild
3406,Doctor,2021,"3,932","Action, Comedy, Crime",148 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
5606,Allegiant,2016,"115,284","Action, Adventure, Mystery",120 ,Film,PG-13,-,Mild,Mild,Mild,None,Mild
3000,Operation Fortune: Ruse de guerre,2022,No Votes,"Action, Thriller",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
4577,The Handmaid's Tale,1990,"9,458","Drama, Romance, Sci-Fi",109 ,Film,R,-,Moderate,Severe,Moderate,Mild,Mild
3545,The Dark Crystal: Age of Resistance,2019,"22,994","Adventure, Drama, Family",60 ,Series,TV-PG,10,None,Moderate,None,None,Moderate
6091,Strange Days,1995,"69,623","Action, Crime, Drama",145 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
942,StartUp,2017,"25,438","Crime, Thriller",44 ,Series,Not Rated,30,Moderate,Moderate,Moderate,Moderate,Moderate
2354,Below Deck,2013,"2,512",Reality-TV,43 ,Series,TV-14,125,No Rate,No Rate,No Rate,No Rate,No Rate
4903,Bir Zamanlar Çukurova,1988,885,Drama,120 ,Series,None,108,No Rate,No Rate,No Rate,No Rate,No Rate
5325,Breach,2020,"16,444","Action, Horror, Sci-Fi",92 ,Film,R,-,Severe,Severe,Severe,Moderate,Moderate
5960,Bound by Honor,1993,"30,071","Crime, Drama",180 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
1698,Zone 414,2021,"1,376","Sci-Fi, Thriller",98 ,Film,R,-,Mild,Moderate,Severe,Mild,No Rate
5811,Creepshow 2,1987,"24,196","Fantasy, Horror",92 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
4258,Ip Man,2008,"217,554","Action, Biography, Drama",106 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
3750,Body Double,1984,"31,694","Crime, Drama, Mystery",114 ,Film,R,-,Severe,Moderate,Moderate,Mild,Moderate
4154,Beforeigners,1954,"7,612","Crime, Drama, Sci-Fi",45 ,Series,TV-14,12,Moderate,Moderate,No Rate,Moderate,No Rate
4349,Serpico,1973,"117,127","Biography, Crime, Drama",130 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
985,Stardust,2007,"263,530","Adventure, Family, Fantasy",127 ,Film,PG-13,-,Mild,Moderate,None,Mild,Moderate
1821,Mandy,2018,"71,193","Horror, Mystery, Thriller",121 ,Film,Not Rated,-,Moderate,Severe,Moderate,Severe,Severe
3289,The Chronicles of Riddick,2004,"220,724","Action, Adventure, Sci-Fi",119 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
5624,I Dream Too Much,1935,563,"Comedy, Romance, Musical",97 ,Film,Passed,-,Mild,Mild,None,Mild,None
5893,Head of the Class,1985,"2,535",Comedy,30 ,Series,TV-G,114,No Rate,No Rate,No Rate,No Rate,No Rate
981,Uncharted,2022,No Votes,"Action, Adventure",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3733,Swim,2021,195,"Action, Horror",86 ,Film,Approved,-,No Rate,No Rate,No Rate,No Rate,No Rate
4983,Wycliffe,2021,702,"Crime, Drama, Mystery",50 ,Series,TV-14,37,No Rate,No Rate,No Rate,No Rate,No Rate
5620,Ophelia,2018,"9,539","Drama, Romance, Thriller",114 ,Film,PG-13,-,Mild,Mild,None,None,Mild
4819,God: Serengeti,2017,"2,009","Short, Comedy",4 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
4420,Asteroid City,2022,No Votes,"Comedy, Romance",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3700,One Night in Miami...,2020,"29,128",Drama,114 ,Film,R,-,None,Mild,Moderate,Mild,None
1473,The Final Girls,2015,"42,736","Comedy, Drama, Fantasy",91 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
5887,People Just Do Nothing,1991,"5,723","Comedy, Music",30 ,Series,TV-MA,27,Mild,None,Moderate,Moderate,None
3551,The Great Escape,1963,"234,357","Adventure, Drama, History",172 ,Film,Approved,-,None,Mild,Mild,Mild,Moderate
4896,Flack,1988,"4,769","Comedy, Drama",60 ,Series,TV-14,12,Mild,Mild,Severe,Severe,None
1457,Dallas,2021,"13,719","Drama, Romance",60 ,Series,TV-PG,356,No Rate,No Rate,No Rate,No Rate,No Rate
1395,The Shape of Water,2017,"394,482","Adventure, Drama, Fantasy",123 ,Film,R,-,Severe,Severe,Moderate,Mild,Moderate
264,The Orville,2021,"64,211","Adventure, Comedy, Drama",44 ,Series,TV-14,37,Mild,Mild,Mild,Mild,Mild
2748,Brightburn,2019,"89,664","Drama, Horror, Mystery",90 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
3589,The Missing,2003,"34,710","Adventure, Thriller, Western",137 ,Film,R,-,Mild,Moderate,None,None,Moderate
2692,Yakusoku no Neverland,1998,"30,294","Animation, Adventure, Drama",23 ,Series,TV-14,23,None,Mild,Mild,None,Moderate
5971,Trigger Point,2021,"1,719","Action, Mystery, Thriller",85 ,Film,Not Rated,-,Mild,Severe,Severe,Severe,Severe
929,The Godfather: Part II,1974,"1,187,439","Crime, Drama",202 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
4342,Paterson,2016,"76,293","Comedy, Drama, Romance",118 ,Film,R,-,None,None,Mild,Mild,None
6077,Snabba Cash,1957,"7,269","Action, Crime, Drama",52 ,Series,TV-MA,7,Moderate,Severe,Moderate,Severe,Moderate
2400,Cube,1997,"221,474","Drama, Mystery, Sci-Fi",90 ,Film,R,-,Mild,Severe,Moderate,None,Severe
2178,Bhramam,2021,932,"Crime, Thriller",152 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
5849,Burlesque,2010,"82,408","Drama, Music, Musical",119 ,Film,PG-13,-,Mild,None,Mild,Moderate,None
246,Gladiator,2000,"1,403,705","Action, Adventure, Drama",155 ,Film,R,-,Mild,Severe,Mild,None,Severe
1594,The OA,1994,"96,940","Drama, Fantasy, Mystery",60 ,Series,TV-MA,16,Moderate,Moderate,Moderate,Mild,Moderate
1758,The Mule,2018,"126,843","Crime, Drama, Thriller",116 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
6008,The Gift,2000,"66,306","Drama, Fantasy, Horror",112 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
4153,La Strada,1954,"60,963",Drama,108 ,Film,Not Rated,-,None,Mild,Mild,Moderate,Mild
923,Coco,2017,"435,130","Animation, Adventure, Comedy",105 ,Film,PG,-,None,Mild,None,Mild,Mild
5247,The Bridge,2019,"18,528","Crime, Drama, Mystery",43 ,Series,TV-MA,26,Mild,Severe,Moderate,Moderate,Moderate
4559,Underworld: Evolution,2006,"194,920","Action, Fantasy, Thriller",106 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
268,Halloween,2007,"113,922",Horror,109 ,Film,R,-,Severe,Severe,Severe,Mild,Severe
669,A.P. Bio,1997,"12,589",Comedy,21 ,Series,TV-14,42,Mild,Mild,Mild,Mild,None
4098,The Bourne Ultimatum,2007,"617,345","Action, Adventure, Mystery",115 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
1910,Dances with Wolves,1990,"251,045","Adventure, Drama, Western",181 ,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Moderate
5861,Jaws: The Revenge,1987,"44,416","Adventure, Horror, Thriller",89 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
4287,Trance,2013,"112,013","Crime, Drama, Mystery",101 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
1152,Independence Day,1996,"550,363","Action, Adventure, Sci-Fi",145 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
5669,Cocomelon,2006,358,"Animation, Comedy, Family",None,Series,TV-PG,80,None,None,None,None,Moderate
5067,Push,2009,"108,415","Action, Sci-Fi, Thriller",111 ,Film,PG-13,-,None,Moderate,Moderate,Moderate,Moderate
5941,Wishmaster,1997,"22,408","Fantasy, Horror",90 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
4630,El olvido que seremos,2020,"1,285","Drama, History",136 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
2696,Angels & Demons,2009,"283,109","Action, Mystery, Thriller",138 ,Film,PG-13,-,None,Severe,Mild,Mild,Severe
2591,Beethoven,1992,"69,374","Comedy, Drama, Family",87 ,Film,PG,-,None,Mild,Mild,Mild,Mild
5746,Haven,2015,"36,681","Crime, Drama, Fantasy",60 ,Series,TV-PG,78,Mild,Moderate,Mild,Mild,Mild
1781,Wolfe,2002,799,Crime,60 ,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
2413,Raging Bull,1980,"336,631","Biography, Drama, Sport",129 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
3013,Life in Pieces,2020,"13,972",Comedy,22 ,Series,TV-14,79,Mild,None,Mild,No Rate,No Rate
5391,Super Troopers,2001,"100,571","Comedy, Crime, Mystery",100 ,Film,R,-,Moderate,Mild,Severe,Moderate,None
2307,Warcraft,2016,"253,612","Action, Adventure, Fantasy",123 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
3258,Boyhood,2014,"345,055",Drama,165 ,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
687,Boogie Nights,1997,"251,062",Drama,155 ,Film,R,-,Severe,Moderate,Severe,Severe,Moderate
1915,Unaired Game of Thrones Prequel Pilot,2019,90,Fantasy,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
5810,Da Vinci's Demons,2021,"75,054","Adventure, Biography, Drama",60 ,Series,TV-MA,28,Severe,Moderate,Moderate,Mild,Moderate
612,Die Hard,1988,"822,842","Action, Thriller",132 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
3071,Lady of the Manor,2021,583,Comedy,96 ,Film,R,-,Moderate,Mild,Severe,Mild,Mild
4316,Polytechnique,2009,"15,125","Crime, Drama, History",77 ,Film,Not Rated,-,None,Severe,Mild,Mild,Severe
3200,A History of Violence,2005,"230,538","Action, Drama, Thriller",96 ,Film,R,-,Severe,Severe,Moderate,Moderate,Moderate
2267,Dix pour cent,2018,"11,876","Comedy, Drama",52 ,Series,TV-MA,24,Moderate,None,Mild,Moderate,None
5921,Knight of Cups,2015,"26,257","Drama, Romance",118 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
2533,The Karate Kid,2010,"171,499","Action, Drama, Family",140 ,Film,PG,-,None,Moderate,Mild,None,Mild
39,Skyfall,2012,"658,977","Action, Adventure, Thriller",143 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1898,Constantine,2005,"323,113","Action, Fantasy, Horror",121 ,Film,R,-,None,Moderate,Moderate,Moderate,Severe
1649,Gokseong,2016,"60,126","Horror, Mystery, Thriller",156 ,Film,TV-MA,-,Mild,Severe,Severe,Mild,Severe
5714,Fatale,2020,"8,182",Thriller,102 ,Film,R,-,Mild,Mild,Moderate,No Rate,No Rate
258,Magnum P.I.,1988,"10,579","Action, Adventure, Crime",43 ,Series,TV-14,61,None,Mild,Mild,Mild,Mild
2924,Stalker,1979,"126,634","Drama, Sci-Fi",162 ,Film,Not Rated,-,None,Mild,Mild,Mild,Mild
2434,Chef,2014,"206,395","Adventure, Comedy, Drama",114 ,Film,R,-,Mild,None,Moderate,Mild,None
847,Naruto,2021,"83,968","Animation, Action, Adventure",24 ,Series,TV-PG,220,Mild,Moderate,Mild,Mild,Moderate
2822,How to Lose a Guy in 10 Days,2003,"222,606","Comedy, Romance",116 ,Film,PG-13,-,Mild,None,Moderate,Mild,None
4526,Revolver,2005,"92,713","Action, Crime, Drama",111 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
5234,The Hunchback of Notre Dame,1996,"148,870","Animation, Drama, Family",91 ,Film,G,-,Mild,Moderate,Mild,Mild,Moderate
4259,The Owners,2020,"6,762","Comedy, Crime, Horror",92 ,Film,Not Rated,-,Mild,Moderate,Severe,Mild,Moderate
5609,Patriot Games,1992,"107,865","Action, Thriller",117 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
1233,Insidious,2010,"292,636","Horror, Mystery, Thriller",103 ,Film,PG-13,-,None,Mild,Mild,None,Severe
1127,Les Misérables,2012,"318,477","Drama, Musical, Romance",158 ,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Moderate
3691,Marry Me,2022,No Votes,"Comedy, Music, Romance",112 ,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
1967,Young Royals,1992,"21,677","Drama, Romance",50 ,Series,TV-MA,7,Mild,Mild,Mild,Moderate,None
558,The Blue Lagoon,1980,"66,456","Adventure, Drama, Romance",104 ,Film,R,-,Severe,Mild,None,Mild,Mild
904,300,2006,"758,693","Action, Drama",117 ,Film,R,-,Moderate,Severe,Mild,None,Severe
2614,La Fortuna,2021,172,"Adventure, Thriller",None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
3143,3 from Hell,2019,"13,273","Action, Horror",115 ,Film,R,-,Severe,Severe,Severe,Severe,Severe
484,All Creatures Great and Small,1971,"5,786","Comedy, Drama",None,Series,TV-PG,13,No Rate,No Rate,No Rate,No Rate,No Rate
2211,The Mosquito Coast,1996,"8,450","Adventure, Drama, Thriller",60 ,Series,TV-MA,8,None,Moderate,Moderate,Moderate,Moderate
1320,Scream Queens,1986,"37,728","Comedy, Horror, Mystery",45 ,Series,TV-14,23,Moderate,Severe,Moderate,Mild,Moderate
3527,Dubai Presents: A Five-Star Mission,2021,79,"Short, Action",2 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
2555,LuLaRich,1956,"2,381",Documentary,None,Series,TV-14,4,No Rate,No Rate,No Rate,No Rate,No Rate
7,House of the Dragon,2021,No Votes,"Action, Adventure, Drama",None,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
2315,RocknRolla,2008,"243,702","Action, Crime, Thriller",114 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
5228,Wu Assassins,2019,"11,167","Action, Crime, Drama",44 ,Series,TV-MA,10,None,Moderate,Moderate,Mild,Mild
4508,"Luchshe, chem lyudi",2012,"7,863","Drama, Sci-Fi",52 ,Series,None,16,No Rate,No Rate,No Rate,No Rate,No Rate
4439,Bugsy Malone,1976,"17,228","Comedy, Crime, Family",93 ,Film,G,-,None,None,None,Mild,None
5421,The Crucible,1996,"36,646","Drama, History",124 ,Film,PG-13,-,Moderate,Moderate,Mild,None,Moderate
1450,Baywatch,2017,"174,777","Action, Comedy, Crime",116 ,Film,R,-,Moderate,Moderate,Severe,Mild,Mild
1201,The Pianist,2002,"773,575","Biography, Drama, Music",150 ,Film,(Banned),-,None,Severe,Mild,Mild,Severe
2426,Rushmore,1998,"176,496","Comedy, Drama, Romance",93 ,Film,R,-,Mild,Mild,Moderate,Mild,None
2648,Lolita,1962,"97,276","Crime, Drama, Romance",153 ,Film,Not Rated,-,Mild,Mild,None,Mild,Mild
1814,Shame,2011,"189,839",Drama,101 ,Film,NC-17,-,Severe,Moderate,Severe,Moderate,Moderate
2726,No Strings Attached,2011,"221,546","Comedy, Romance",108 ,Film,R,-,Moderate,Mild,Moderate,Mild,None
773,3%,2000,"23,644","Action, Drama, Sci-Fi",49 ,Series,TV-MA,33,Mild,Moderate,Moderate,Mild,Moderate
2274,Okja,2017,"113,282","Action, Adventure, Drama",120 ,Film,TV-MA,-,Mild,Moderate,Moderate,Mild,Severe
1011,The Lovely Bones,2009,"164,126","Drama, Fantasy, Thriller",135 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
4159,Klaus,2019,"120,667","Animation, Adventure, Comedy",96 ,Film,PG,-,None,None,None,None,Mild
3168,Sunset Blvd.,1950,"211,770","Drama, Film-Noir",110 ,Film,Passed,-,None,Mild,None,Mild,Mild
3667,Robot Chicken,2018,"41,398","Animation, Short, Adventure",11 ,Series,TV-MA,219,Severe,Severe,Severe,Moderate,Moderate
1991,Molly's Game,2017,"156,671","Biography, Crime, Drama",140 ,Film,R,-,None,Mild,Moderate,Moderate,Moderate
1277,Interview with the Vampire: The Vampire Chronicles,1994,"304,969","Drama, Horror",123 ,Film,R,-,Moderate,Severe,Mild,Mild,Severe
1783,Rocky IV,1985,"195,262","Drama, Sport",91 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
4376,Liar Game,1999,"1,856",Drama,36 ,Series,None,21,No Rate,No Rate,No Rate,No Rate,No Rate
446,Live and Let Die,1973,"102,320","Action, Adventure, Thriller",121 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
880,Love and Monsters,2020,"109,343","Action, Adventure, Comedy",109 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
4867,Sharpe,2017,642,"Action, Adventure, Drama",None,Series,None,18,No Rate,No Rate,No Rate,No Rate,No Rate
5505,Blue Lagoon: The Awakening,2012,"14,299","Drama, Romance",85 ,Film,TV-14,-,Mild,Mild,Mild,None,Mild
2727,Wednesday,2011,No Votes,"Comedy, Family, Fantasy",None,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate
3048,Silk Road,2021,"4,159","Crime, Drama, Thriller",112 ,Film,R,-,None,Mild,Moderate,Severe,Mild
781,Legally Blonde,2001,"200,635","Comedy, Romance",96 ,Film,PG-13,-,Mild,Mild,Mild,None,None
2651,The Picture of Dorian Gray,1945,"12,667","Drama, Fantasy, Horror",110 ,Film,Not Rated,-,Mild,Mild,None,Moderate,Mild
5999,Paths of Glory,1957,"187,737","Drama, War",88 ,Film,Approved,-,None,Moderate,Mild,Mild,Moderate
